-10,-11
-9.5,-10
-9,-9
-8.5,-8
-8,-7
-7.5,-6
-7,-5
-6.5,-4
-6,-3
-5.5,-2
-5,-1
-4.5,0
-4,1
-3.5,2
-3,3
-2.5,4
-2,5
-1.5,6
-1,7
-0.5,8
0,9
0.5,10
1,11
1.5,12
2,13
2.5,14
3,15
3.5,16
4,17
4.5,18
5,19
5.5,20
6,21
6.5,22
7,23
7.5,24
8,25
8.5,26
9,27
9.5,28
10,29
,
-10,-6.088953568
-9.5,-6.741393781
-9,-9.713959819
-8.5,-10.63931126
-8,-9.632781335
-7.5,-8.541663049
-7,-2.938587797
-6.5,-3.714934772
-6,-4.024501587
-5.5,-3.331898906
-5,-1.508381383
-4.5,0
-4,0.132274876
-3.5,0.253697857
-3,0.939713827
-2.5,5.211876586
-2,2.746568708
-1.5,7.964493361
-1,5.818202342
-0.5,2.412050124
0,1.109101589
0.5,6.231597169
1,12.76502781
1.5,14.03641147
2,13.25232734
2.5,21.05370984
3,4.862514579
3.5,22.57456817
4,3.913369239
4.5,23.50811714
5,35.93003543
5.5,15.50137307
6,27.36997396
6.5,42.51915709
7,40.54361288
7.5,7.927837325
8,37.65515622
8.5,38.20825223
9,38.03810573
9.5,25.23416513
10,20.9430863
,
-10,-6
-9.5,-5.083333333
-9,-4.237179487
-8.5,-3.451465201
-8,-2.718131868
-7.5,-2.030631868
-7,-1.383573045
-6.5,-0.772461933
-6,-0.193514565
-5.5,0.356485435
-5,0.880294959
-4.5,1.731737576
-4,2.580074286
-3.5,3.428514942
-3,4.279942567
-2.5,5.136993731
-2,6.00211876
-1.5,6.877627893
-1,7.765727409
-0.5,8.668548455
0,9.588170504
0.5,10.52664077
1,11.46925521
1.5,12.41635906
2,13.36816116
2.5,14.324743
3,15.28606439
3.5,16.25196656
4,17.22217317
4.5,18.19628963
5,19.17380112
5.5,19.6617727
6,20.12476768
6.5,20.55700547
7,20.95098499
7.5,21.29684804
8,21.58144492
8.5,21.78693245
9,21.88861694
9.5,21.85153866
10,21.624883
-10,-2.239410083
-9.5,-1.595098618
-9,-1.005605724
-8.5,-0.458056122
-8,0.057371063
-7.5,0.548316413
-7,1.020831155
-6.5,1.479786763
-6,1.929165149
-5.5,2.3722683
-5,2.811872351
-4.5,3.51175941
-4,4.218634442
-3.5,4.935802296
-3,5.665969183
-2.5,6.411369114
-2,7.173851179
-1.5,7.954940124
-1,8.755878154
-0.5,9.577653165
0,10.42101686
0.5,11.26305241
1,12.08921527
1.5,12.89675484
2,13.68225858
2.5,14.44154316
3,15.16948964
3.5,15.85979947
4,16.50463327
4.5,17.09406758
5,17.61525843
5.5,17.89704338
6,18.1533203
6.5,18.38069017
7,18.57525606
7.5,18.73258534
8,18.84770397
8.5,18.91516636
9,18.9292895
9.5,18.88473356
10,18.77781183
